SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY 100","25,422.95","25,532.65","25,387.25","25,368.75","25,486.35","-","117.6","0.46","664485821","49,561.44","26,975.15","22,720.45","2.29","0.42"
"BAJFINANCE","1,095.00","1,151.50","1,083.60","1,053.50","1,141.20","-","87.7","8.32","40814590","4,585.52","1,151.50","787.90","13.58","29.51"
"M&M","3,379.90","3,457.00","3,243.30","3,283.70","3,393.00","-","109.3","3.33","6131873","2,079.31","3,839.90","2,896.00","10.56","5.93"
"HDFCBANK","753.95","757.55","747.20","753.95","748.00","-","-5.95","-0.79","25522483","1,913.22","1,020.50","726.65","-6.26","-25.87"
"INFY","1,118.90","1,139.30","1,107.20","1,155.10","1,129.90","-","-25.2","-2.18","14367075","1,620.76","1,728.00","982.40","12.94","-25.12"
"BHARTIARTL","1,969.00","1,976.40","1,947.40","1,956.80","1,968.00","-","11.2","0.57","6529385","1,284.05","2,174.50","1,740.50","6.26","2.81"
"TVSMOTOR","4,208.40","4,325.00","4,198.00","4,208.40","4,311.00","-","102.6","2.44","2991859","1,282.89","4,325.00","2,754.50","24.57","53.87"
"ICICIBANK","1,434.30","1,441.90","1,431.40","1,433.90","1,433.90","-","0","0","8752440","1,255.92","1,494.50","1,187.60","4.27","-3.21"
"HYUNDAI","2,099.00","2,208.00","2,090.00","2,018.20","2,183.00","-","164.8","8.17","5531547","1,203.65","2,890.00","1,658.00","14.56","1.45"
"ETERNAL","312.50","316.00","301.80","310.65","302.65","-","-8","-2.58","36770653","1,124.81","368.45","212.60","14.38","-1.67"
"RELIANCE","1,295.00","1,309.70","1,293.60","1,292.90","1,305.00","-","12.1","0.94","8624996","1,123.91","1,611.80","1,249.80","0.86","-6.13"
"SBIN","1,028.10","1,034.30","1,023.50","1,025.30","1,027.60","-","2.3","0.22","10921417","1,122.34","1,234.70","786.55","0.07","29.01"
"JIOFIN","247.50","257.06","247.00","246.95","256.10","-","9.15","3.71","42840807","1,084.90","338.60","223.30","8.32","-22.22"
"TCS","2,385.00","2,391.00","2,326.10","2,431.80","2,366.00","-","-65.8","-2.71","4343683","1,026.96","3,350.00","1,976.80","16.47","-22.09"
"SUNPHARMA","2,016.40","2,046.90","1,965.30","2,001.10","1,987.00","-","-14.1","-0.7","4954449","992.79","2,046.90","1,548.00","6.68","16.42"
"AXISBANK","1,226.20","1,239.70","1,226.00","1,228.90","1,227.10","-","-1.8","-0.15","7487936","920.81","1,418.30","1,042.50","-8.81","14.85"
