SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY AUTO","28,550.95","28,871.65","28,168.00","28,279.10","28,744.15","-","465.05","1.64","102686491","7,810.63","29,179.10","23,439.05","8.55","21.51"
"M&M","3,379.90","3,457.00","3,243.30","3,283.70","3,393.00","-","109.3","3.33","6131873","2,079.31","3,839.90","2,896.00","10.56","5.93"
"TVSMOTOR","4,208.40","4,325.00","4,198.00","4,208.40","4,311.00","-","102.6","2.44","2991859","1,282.89","4,325.00","2,754.50","24.57","53.87"
"ASHOKLEY","159.90","166.70","159.17","158.09","165.69","-","7.6","4.81","47542706","784.74","215.42","114.96","5.07","36.88"
"MARUTI","14,250.00","14,348.00","14,124.00","14,188.00","14,240.00","-","52","0.37","535417","762.03","17,370.00","12,201.00","0.89","12.94"
"EICHERMOT","7,899.00","7,899.00","7,794.00","7,912.50","7,835.00","-","4.5","0.06","720608","565.13","8,230.00","5,386.50","10.77","43.28"
"HEROMOTOCO","5,375.00","5,394.70","5,297.50","5,325.00","5,388.00","-","63","1.18","769470","412.59","6,388.50","4,201.00","12.38","26.46"
"MOTHERSON","146.81","152.40","146.42","146.72","150.90","-","4.18","2.85","23484060","353.60","155.25","89.70","1.88","55.29"
"EXIDEIND","456.65","459.60","444.15","452.70","447.50","-","-5.2","-1.15","6655019","300.36","461.40","287.00","15.45","16.45"
"TMPV","335.55","341.95","334.50","334.20","340.10","-","5.9","1.77","8527463","288.50","739.70","294.30","-3.44","-48.93"
"BAJAJ-AUTO","11,475.00","11,590.00","11,329.50","11,432.00","11,519.00","-","87","0.76","214380","246.94","11,590.00","7,858.50","18.56","43.84"
"SONACOMS","769.95","773.20","761.95","763.75","768.70","-","4.95","0.65","2880222","221.39","773.20","402.30","24","70.99"
"BHARATFORG","2,164.70","2,212.60","2,161.50","2,164.70","2,205.00","-","40.3","1.86","952103","209.14","2,238.00","1,100.50","2.84","88.61"
"TIINDIA","2,716.60","2,775.00","2,689.00","2,688.80","2,750.20","-","61.4","2.28","485821","133.65","3,419.90","2,164.90","-9.21","-3.19"
"UNOMINDA","1,181.00","1,188.00","1,167.60","1,172.80","1,180.00","-","7.2","0.61","776436","91.81","1,382.00","994.00","8.48","13.31"
"BOSCHLTD","41,590.00","41,715.00","40,920.00","41,550.00","41,060.00","-","-490","-1.18","19054","78.54","42,985.00","28,610.00","2.91","1.67"
