SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY CHEMICALS","30,127.65","30,262.60","30,026.30","29,989.10","30,096.25","-","107.15","0.36","32510030","2,315.92","31,895.45","24,851.65","1.62","-3.03"
"AARTIIND","504.00","516.95","485.10","480.20","486.20","-","6","1.25","11292862","562.35","523.10","338.05","6.09","15.75"
"HSCL","763.60","781.90","742.50","760.50","747.80","-","-12.7","-1.67","4621023","352.31","819.50","418.50","10.1","58.08"
"PCBL","328.00","330.60","313.30","328.00","317.40","-","-10.6","-3.23","9190575","291.82","425.95","226.50","-1.17","-19.44"
"DEEPAKFERT","1,533.10","1,608.80","1,511.20","1,532.40","1,543.90","-","11.5","0.75","1138901","178.91","1,680.00","866.40","-0.91","-3.43"
"SOLARINDS","18,110.00","18,619.00","18,110.00","18,053.00","18,360.00","-","307","1.7","88937","163.79","19,187.00","11,646.00","-1.8","29.11"
"NAVINFLUOR","7,474.00","7,655.00","7,473.50","7,386.50","7,580.00","-","193.5","2.62","194108","146.57","7,936.00","4,498.50","-1.39","50.16"
"PIDILITIND","1,630.50","1,637.90","1,601.00","1,629.90","1,607.70","-","-22.2","-1.36","821463","132.71","1,637.90","1,259.00","0.94","12.04"
"SRF","2,614.80","2,639.10","2,597.80","2,604.80","2,624.80","-","20","0.77","365175","95.66","3,210.00","2,355.00","-4.17","-13.68"
"UPL","607.60","607.60","599.05","602.55","602.70","-","0.15","0.02","1386415","83.73","812.20","563.15","5.51","-14.36"
"CHAMBLFERT","443.00","448.20","436.25","445.85","438.90","-","-6.95","-1.56","857422","37.84","580.70","399.75","-6.21","-14.76"
"LINDEINDIA","6,656.00","6,810.00","6,646.50","6,637.00","6,770.00","-","133","2","55674","37.53","8,049.00","5,673.00","-7.4","2.99"
"ATUL","6,820.00","6,871.50","6,703.00","6,803.00","6,749.00","-","-54","-0.79","48819","33.04","7,180.00","5,560.50","4.4","1.81"
"COROMANDEL","2,061.00","2,082.00","2,026.00","2,054.20","2,079.90","-","25.7","1.25","158179","32.69","2,718.90","1,706.50","3.74","-22.72"
"SWANCORP","306.65","310.00","304.00","306.65","307.00","-","0.35","0.11","1054925","32.29","506.00","295.65","-2.06","-34.3"
"SUMICHEM","513.00","514.05","502.10","508.40","512.40","-","4","0.79","589716","30.01","665.00","362.60","21.75","-21.01"
"PIIND","2,778.80","2,781.30","2,740.00","2,777.30","2,757.20","-","-20.1","-0.72","100436","27.65","4,330.00","2,527.00","7.91","-35.14"
"DEEPAKNTR","1,652.00","1,671.00","1,645.50","1,643.90","1,658.10","-","14.2","0.86","137803","22.89","1,916.70","1,280.00","7.22","-9.91"
"TATACHEM","671.00","676.40","668.20","670.30","673.00","-","2.7","0.4","334656","22.51","1,026.65","580.30","-6","-31.5"
"FLUOROCHEM","4,388.90","4,471.00","4,344.60","4,395.00","4,365.00","-","-30","-0.68","45315","19.99","4,653.20","2,916.60","10.12","21.45"
"BAYERCROP","4,247.60","4,264.90","4,188.20","4,226.50","4,220.00","-","-6.5","-0.15","27626","11.64","6,509.50","4,030.00","1.77","-33.25"
