SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY DIVIDEND OPPORTUNITIES 50","5,921.90","5,951.45","5,898.60","5,948.85","5,939.10","-","-9.75","-0.16","435008210","16,332.53","6,584.65","5,614.00","4.17","1.19"
"INFY","1,118.90","1,139.30","1,107.20","1,155.10","1,129.90","-","-25.2","-2.18","14367075","1,620.76","1,728.00","982.40","12.94","-25.12"
"SBIN","1,028.10","1,034.30","1,023.50","1,025.30","1,027.60","-","2.3","0.22","10921417","1,122.34","1,234.70","786.55","0.07","29.01"
"TCS","2,385.00","2,391.00","2,326.10","2,431.80","2,366.00","-","-65.8","-2.71","4343683","1,026.96","3,350.00","1,976.80","16.47","-22.09"
"ASHOKLEY","159.90","166.70","159.17","158.09","165.69","-","7.6","4.81","47542706","784.74","215.42","114.96","5.07","36.88"
"REDINGTON","312.50","327.65","306.95","310.95","320.55","-","9.6","3.09","23658297","762.74","338.50","191.31","16.07","28.12"
"GAIL","174.45","182.21","173.50","173.64","181.00","-","7.36","4.24","38893443","697.01","186.87","134.36","4.35","1.87"
"SHRIRAMFIN","1,029.20","1,054.60","1,029.10","1,027.20","1,046.20","-","19","1.85","6318223","660.48","1,108.00","566.50","0.39","65.84"
"TATASTEEL","188.25","191.84","186.31","186.92","189.99","-","3.07","1.64","34249584","648.21","224.40","152.51","1.03","20.29"
"TECHM","1,620.00","1,661.50","1,610.50","1,669.00","1,653.90","-","-15.1","-0.9","3355677","553.39","1,854.00","1,304.10","17.74","12.99"
"ITC","285.55","285.80","280.05","285.05","281.00","-","-4.05","-1.42","16833813","474.07","427.00","275.00","-2.07","-31.79"
"HCLTECH","1,317.70","1,356.50","1,294.30","1,352.70","1,345.70","-","-7","-0.52","3369019","451.49","1,780.10","1,030.00","25.56","-8.32"
"PFC","423.70","427.10","420.35","426.25","425.00","-","2.7","0.64","10382221","440.12","486.50","329.90","0.16","3.67"
"HEROMOTOCO","5,375.00","5,394.70","5,297.50","5,325.00","5,388.00","-","63","1.18","769470","412.59","6,388.50","4,201.00","12.38","26.46"
"VEDL","268.80","269.00","263.00","267.50","264.35","-","-3.15","-1.18","15446979","410.36","795.00","249.70","-5.84","-37.89"
"HINDUNILVR","2,119.60","2,119.60","2,091.10","2,107.90","2,099.40","-","-8.5","-0.4","1759019","369.59","2,750.00","2,016.00","-0.89","-16.73"
"WIPRO","184.85","185.24","180.83","186.33","183.75","-","-2.58","-1.38","18762810","344.20","273.10","169.00","7.84","-26"
"OFSS","11,100.00","11,270.00","10,882.00","11,136.00","11,200.00","-","64","0.57","294348","327.97","11,979.00","6,234.50","3.94","32.15"
"HINDPETRO","390.80","391.90","385.60","388.45","389.45","-","1","0.26","7761816","302.18","508.45","316.20","-1.27","-6.93"
"NTPC","344.10","348.25","343.55","344.85","346.60","-","1.75","0.51","8519119","294.98","414.40","315.55","-2.82","3.69"
"SAIL","169.66","171.85","167.97","169.05","168.80","-","-0.25","-0.15","15525081","262.86","209.70","118.10","-2.7","35.91"
"NATIONALUM","352.00","355.75","347.65","347.65","350.50","-","2.85","0.82","7186013","252.91","445.15","179.93","3.21","89.4"
"BAJAJ-AUTO","11,475.00","11,590.00","11,329.50","11,432.00","11,519.00","-","87","0.76","214380","246.94","11,590.00","7,858.50","18.56","43.84"
"COALINDIA","413.00","415.10","410.15","417.20","414.40","-","2.7","0.66","5938134","245.48","491.25","368.65","-5.61","10.11"
"ONGC","241.58","242.96","238.17","241.59","242.30","-","0.71","0.29","10070729","242.87","307.50","227.65","3.15","0.54"
"BRITANNIA","5,445.00","5,460.00","5,364.00","5,524.50","5,405.00","-","-29","-0.53","428290","231.46","6,336.00","5,035.00","5.02","-6.34"
"HINDZINC","536.05","543.90","535.35","535.90","539.25","-","3.35","0.63","4198309","226.49","733.00","413.50","1.14","27.17"
"POWERGRID","286.30","287.40","283.00","285.70","284.20","-","-1.5","-0.53","7804310","221.75","324.95","250.00","-0.73","-2.34"
"HDFCAMC","2,550.10","2,630.00","2,550.10","2,546.30","2,618.00","-","71.7","2.82","825760","214.91","2,967.25","2,205.60","-1.33","-7.33"
"CUMMINSIND","5,463.00","5,567.00","5,461.50","5,396.00","5,511.50","-","115.5","2.14","357879","197.83","6,100.00","3,488.30","-2.62","55.01"
"BANKBARODA","243.00","244.50","242.10","241.65","242.80","-","1.15","0.48","7775343","188.96","325.50","230.81","-10.87","2.07"
"CANBK","124.99","125.44","124.25","124.28","124.90","-","0.62","0.5","13392650","167.22","162.89","103.55","-0.49","16.46"
"BPCL","316.05","320.40","314.40","315.80","320.20","-","4.4","1.39","5111067","162.65","391.65","266.60","5.49","-2.76"
"M&MFIN","393.90","401.00","384.25","392.55","387.35","-","-5.2","-1.32","3831202","150.01","412.20","250.30","22.66","50.43"
"ANGELONE","293.00","299.95","292.50","291.65","297.50","-","5.85","2.01","4626956","137.62","360.45","208.63","-10.03","14.38"
"IOC","140.20","140.69","138.86","139.94","139.99","-","0.05","0.04","9626379","134.77","188.96","130.22","0.44","-3.87"
"RECLTD","372.60","374.00","370.00","374.90","372.85","-","2.2","0.59","3604289","134.19","403.60","304.05","2.49","-5.66"
"MPHASIS","2,324.60","2,351.80","2,222.30","2,346.70","2,330.00","-","-16.7","-0.71","568913","131.85","3,037.20","2,013.00","7.79","-16.49"
"PNB","112.00","113.00","111.69","111.64","112.65","-","1.01","0.9","11559072","130.04","135.15","98.50","5.59","6.9"
"INDIANB","828.00","840.90","828.00","827.25","834.10","-","6.85","0.83","1312076","109.51","1,000.90","606.00","2.14","34.16"
"NMDC","85.50","85.60","84.69","85.01","85.05","-","0.04","0.05","12787764","108.71","97.49","68.19","-0.13","20.14"
"IRFC","89.50","89.88","88.43","88.92","89.10","-","0.18","0.2","12049926","107.43","137.17","86.02","-1.58","-30.58"
"PAGEIND","41,000.00","41,160.00","39,890.00","41,085.00","40,255.00","-","-830","-2.02","24934","100.80","49,090.00","29,805.00","-2.7","-17.52"
"UNIONBANK","171.06","172.80","169.82","170.40","170.76","-","0.36","0.21","5557534","95.18","205.49","124.64","-0.97","30.39"
"BANKINDIA","138.00","138.68","136.87","137.22","137.72","-","0.5","0.36","5768166","79.49","178.36","108.81","-1.91","23.65"
"OIL","454.95","459.40","451.20","456.90","459.25","-","2.35","0.51","1629335","74.49","531.00","384.60","10.15","4.38"
"GODREJCP","1,071.20","1,076.30","1,054.70","1,072.10","1,066.20","-","-5.9","-0.55","674686","72.04","1,309.00","967.05","5.56","-15.31"
"COLPAL","2,109.50","2,109.50","2,047.30","2,084.80","2,068.60","-","-16.2","-0.78","322106","66.76","2,504.00","1,782.00","3.54","-7.87"
"MAHABANK","79.80","80.20","78.96","79.26","79.30","-","0.04","0.05","7563638","60.03","94.50","51.71","-13.28","41.41"
"NHPC","78.29","78.86","77.91","78.07","78.70","-","0.63","0.81","5662702","44.44","89.22","71.62","-3.23","-5.47"
"HUDCO","197.11","197.98","194.40","197.11","194.70","-","-1.16","-0.59","1461868","28.62","246.85","159.00","-5.03","-8.28"
