SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY FMCG","49,756.40","49,769.05","49,041.55","49,642.05","49,121.20","-","-520.85","-1.05","41531537","2,850.37","58,485.05","45,334.15","0.67","-11.99"
"ITC","285.55","285.80","280.05","285.05","281.00","-","-4.05","-1.42","16833813","474.07","427.00","275.00","-2.07","-31.79"
"NESTLEIND","1,529.00","1,529.00","1,497.50","1,520.70","1,505.00","-","-15.7","-1.03","2501825","377.69","1,532.60","1,084.70","7.1","33.91"
"HINDUNILVR","2,119.60","2,119.60","2,091.10","2,107.90","2,099.40","-","-8.5","-0.4","1759019","369.59","2,750.00","2,016.00","-0.89","-16.73"
"VBL","451.00","451.00","439.85","451.35","440.00","-","-10.85","-2.41","7987191","355.09","555.80","381.00","-13.31","-15.81"
"BRITANNIA","5,445.00","5,460.00","5,364.00","5,524.50","5,405.00","-","-29","-0.53","428290","231.46","6,336.00","5,035.00","5.02","-6.34"
"MARICO","888.00","889.00","868.00","885.35","869.00","-","-16.35","-1.85","2540351","222.10","889.10","690.30","3.92","22.43"
"TATACONSUM","1,098.90","1,098.90","1,081.00","1,094.20","1,082.10","-","-12.1","-1.11","1479617","160.57","1,282.70","1,007.20","0.6","0.83"
"RADICO","4,374.90","4,390.00","4,321.00","4,366.60","4,348.00","-","-18.6","-0.43","366998","159.70","4,494.40","2,500.00","10.2","59.01"
"UNITDSPR","1,532.90","1,535.00","1,510.60","1,531.90","1,515.00","-","-16.9","-1.1","784002","119.21","1,536.80","1,210.80","12.19","13.04"
"DABUR","429.00","429.75","420.25","426.10","421.70","-","-4.4","-1.03","2509913","105.92","577.00","403.35","-0.12","-20.28"
"PATANJALI","357.45","360.65","353.15","356.35","353.90","-","-2.45","-0.69","2716085","96.89","638.93","328.20","-13.9","-43.34"
"GODREJCP","1,071.20","1,076.30","1,054.70","1,072.10","1,066.20","-","-5.9","-0.55","674686","72.04","1,309.00","967.05","5.56","-15.31"
"COLPAL","2,109.50","2,109.50","2,047.30","2,084.80","2,068.60","-","-16.2","-0.78","322106","66.76","2,504.00","1,782.00","3.54","-7.87"
"UBL","1,450.00","1,459.10","1,411.20","1,436.10","1,430.00","-","-6.1","-0.42","136893","19.66","1,977.10","1,276.00","6.96","-26.5"
"EMAMILTD","407.50","407.50","396.50","403.35","397.90","-","-5.45","-1.35","490748","19.63","634.20","376.40","-1.58","-33.76"
