SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY IT","30,488.40","30,900.25","30,034.40","31,194.55","30,708.90","-","-485.65","-1.56","50166953","5,952.12","40,301.40","25,699.10","16.77","-13.01"
"INFY","1,118.90","1,139.30","1,107.20","1,155.10","1,129.90","-","-25.2","-2.18","14367075","1,620.76","1,728.00","982.40","12.94","-25.12"
"TCS","2,385.00","2,391.00","2,326.10","2,431.80","2,366.00","-","-65.8","-2.71","4343683","1,026.96","3,350.00","1,976.80","16.47","-22.09"
"PERSISTENT","5,458.70","5,580.00","5,263.40","5,514.70","5,534.00","-","19.3","0.35","1471276","804.91","6,599.00","4,244.50","27.91","7.24"
"COFORGE","1,710.00","1,738.80","1,681.70","1,746.90","1,722.00","-","-24.9","-1.43","3381070","580.38","1,989.70","1,008.10","17.49","-1.5"
"TECHM","1,620.00","1,661.50","1,610.50","1,669.00","1,653.90","-","-15.1","-0.9","3355677","553.39","1,854.00","1,304.10","17.74","12.99"
"HCLTECH","1,317.70","1,356.50","1,294.30","1,352.70","1,345.70","-","-7","-0.52","3369019","451.49","1,780.10","1,030.00","25.56","-8.32"
"WIPRO","184.85","185.24","180.83","186.33","183.75","-","-2.58","-1.38","18762810","344.20","273.10","169.00","7.84","-26"
"OFSS","11,100.00","11,270.00","10,882.00","11,136.00","11,200.00","-","64","0.57","294348","327.97","11,979.00","6,234.50","3.94","32.15"
"MPHASIS","2,324.60","2,351.80","2,222.30","2,346.70","2,330.00","-","-16.7","-0.71","568913","131.85","3,037.20","2,013.00","7.79","-16.49"
"LTM","4,385.10","4,385.10","4,284.00","4,441.40","4,365.40","-","-76","-1.71","253082","110.21","6,429.50","3,528.00","23.39","-14.5"
