SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY MEDIA","1,589.75","1,627.45","1,582.20","1,585.45","1,618.65","-","33.2","2.09","86057371","1,455.57","1,674.40","1,245.05","9.49","-0.47"
"ZEEL","113.10","117.32","112.40","112.21","114.18","-","1.97","1.76","61736966","711.64","124.14","68.00","10.31","-3.39"
"NAZARA","309.00","343.80","306.50","308.05","338.00","-","29.95","9.72","19464356","646.61","363.25","215.70","11.51","0.04"
"PFOCUS","288.00","290.68","275.55","290.26","287.00","-","-3.26","-1.12","1104971","31.37","367.00","139.04","29.86","97.84"
"PVRINOX","1,132.95","1,143.55","1,123.10","1,131.45","1,124.10","-","-7.35","-0.65","178460","20.19","1,249.70","907.40","16.89","12.43"
"TIPSMUSIC","665.50","675.00","656.15","664.90","666.90","-","2","0.3","216492","14.38","741.00","481.15","6.4","13.29"
"SAREGAMA","522.80","531.30","517.30","521.40","520.00","-","-1.4","-0.27","257411","13.49","535.90","307.05","5.52","7.59"
"SUNTV","511.50","517.80","505.80","511.50","508.45","-","-3.05","-0.6","186436","9.52","660.70","480.20","-1.38","-9.67"
"NETWORK18","29.32","29.70","29.05","29.29","29.46","-","0.17","0.58","2055710","6.05","60.90","27.38","-6.74","-46.92"
"DBCORP","211.02","211.39","208.10","211.02","208.69","-","-2.33","-1.1","69797","1.46","287.90","184.51","9.4","-22.64"
"HATHWAY","10.79","10.84","10.72","10.75","10.78","-","0.03","0.28","786772","0.85","15.44","8.76","-3.32","-28.04"
