SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY METAL","12,778.30","12,809.90","12,691.30","12,701.80","12,719.00","-","17.2","0.14","107903209","3,782.56","13,931.35","9,127.25","1.6","36.98"
"TATASTEEL","188.25","191.84","186.31","186.92","189.99","-","3.07","1.64","34249584","648.21","224.40","152.51","1.03","20.29"
"HINDALCO","979.80","988.00","971.05","970.40","974.50","-","4.1","0.42","5579336","546.55","1,176.00","657.50","1.87","42.67"
"VEDL","268.80","269.00","263.00","267.50","264.35","-","-3.15","-1.18","15446979","410.36","795.00","249.70","-5.84","-37.89"
"HINDCOPPER","485.20","499.00","482.55","480.25","492.50","-","12.25","2.55","7339280","361.54","760.05","226.70","-1.72","102.38"
"SAIL","169.66","171.85","167.97","169.05","168.80","-","-0.25","-0.15","15525081","262.86","209.70","118.10","-2.7","35.91"
"ADANIENT","3,051.00","3,067.50","3,002.40","3,049.10","3,009.10","-","-40","-1.31","866401","262.03","3,245.00","1,753.00","-0.89","27.51"
"NATIONALUM","352.00","355.75","347.65","347.65","350.50","-","2.85","0.82","7186013","252.91","445.15","179.93","3.21","89.4"
"HINDZINC","536.05","543.90","535.35","535.90","539.25","-","3.35","0.63","4198309","226.49","733.00","413.50","1.14","27.17"
"JSWSTEEL","1,276.40","1,282.20","1,262.00","1,270.80","1,271.40","-","0.6","0.05","1449872","184.08","1,328.00","1,018.00","3.67","21.28"
"LLOYDSME","2,025.00","2,100.00","2,015.10","2,015.10","2,036.00","-","20.9","1.04","874405","180.02","2,100.00","1,042.90","12.46","35.31"
"APLAPOLLO","1,908.00","1,908.00","1,805.00","1,893.10","1,808.00","-","-85.1","-4.5","883345","163.12","2,301.40","1,512.90","1.08","12.92"
"NMDC","85.50","85.60","84.69","85.01","85.05","-","0.04","0.05","12787764","108.71","97.49","68.19","-0.13","20.14"
"JINDALSTEL","1,094.50","1,114.00","1,093.60","1,093.70","1,102.00","-","8.3","0.76","783287","86.65","1,306.20","941.55","3.95","14.2"
"WELCORP","1,668.40","1,671.00","1,645.00","1,655.00","1,650.20","-","-4.8","-0.29","382124","63.26","1,700.00","710.00","8.43","77.27"
"JSL","745.85","745.85","725.00","737.75","733.60","-","-4.15","-0.56","351429","25.77","884.00","652.25","5.91","5.69"
