SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY OIL & GAS","11,146.35","11,265.85","11,090.75","11,127.75","11,247.70","-","119.95","1.08","88817222","3,236.46","12,445.70","10,580.95","1.97","-0.13"
"RELIANCE","1,295.00","1,309.70","1,293.60","1,292.90","1,305.00","-","12.1","0.94","8624996","1,123.91","1,611.80","1,249.80","0.86","-6.13"
"GAIL","174.45","182.21","173.50","173.64","181.00","-","7.36","4.24","38893443","697.01","186.87","134.36","4.35","1.87"
"HINDPETRO","390.80","391.90","385.60","388.45","389.45","-","1","0.26","7761816","302.18","508.45","316.20","-1.27","-6.93"
"ONGC","241.58","242.96","238.17","241.59","242.30","-","0.71","0.29","10070729","242.87","307.50","227.65","3.15","0.54"
"CHENNPETRO","1,248.00","1,274.00","1,222.30","1,238.20","1,258.80","-","20.6","1.66","1502352","188.39","1,354.00","620.85","8.86","84.4"
"BPCL","316.05","320.40","314.40","315.80","320.20","-","4.4","1.39","5111067","162.65","391.65","266.60","5.49","-2.76"
"IOC","140.20","140.69","138.86","139.94","139.99","-","0.05","0.04","9626379","134.77","188.96","130.22","0.44","-3.87"
"AEGISLOG","1,249.00","1,291.40","1,222.30","1,249.30","1,277.60","-","28.3","2.27","832634","104.49","1,434.50","576.10","8.83","77.52"
"MGL","1,130.00","1,179.00","1,111.10","1,118.50","1,113.50","-","-5","-0.45","821301","93.77","1,427.90","900.00","-5.16","-18.01"
"OIL","454.95","459.40","451.20","456.90","459.25","-","2.35","0.51","1629335","74.49","531.00","384.60","10.15","4.38"
"PETRONET","278.80","281.30","276.95","278.90","280.05","-","1.15","0.41","1110722","31.09","326.40","235.35","-0.27","-2.83"
"ATGL","651.55","657.50","647.75","650.15","651.50","-","1.35","0.21","460460","30.06","859.85","462.80","-10.94","7.85"
"AEGISVOPAK","294.80","295.47","288.00","292.30","290.60","-","-1.7","-0.58","843953","24.67","311.49","158.00","23.82","21.2"
"CASTROLIND","185.15","185.61","184.93","184.82","185.33","-","0.51","0.28","866970","16.05","224.80","170.10","0.49","-15.03"
"IGL","152.00","152.69","151.06","151.74","152.00","-","0.26","0.17","661065","10.05","223.50","141.74","-7.76","-25.87"
