SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY PHARMA","26,501.05","26,734.50","26,414.65","26,346.05","26,534.80","-","188.75","0.72","27484952","4,810.20","26,734.50","21,149.90","4.77","16.53"
"SUNPHARMA","2,016.40","2,046.90","1,965.30","2,001.10","1,987.00","-","-14.1","-0.7","4954449","992.79","2,046.90","1,548.00","6.68","16.42"
"TORNTPHARM","4,948.00","5,140.70","4,894.40","4,872.10","5,139.90","-","267.8","5.5","1427855","721.18","5,140.70","3,480.60","11.25","37.36"
"DIVISLAB","7,873.00","8,090.00","7,870.50","7,835.00","8,085.00","-","250","3.19","793919","636.90","8,090.00","5,636.50","22.89","22.58"
"MANKIND","2,604.00","2,613.50","2,422.00","2,575.90","2,472.00","-","-103.9","-4.03","2362283","580.74","2,674.00","1,909.70","-2.89","-3.71"
"LAURUSLABS","1,785.00","1,826.60","1,785.00","1,781.30","1,815.00","-","33.7","1.89","2502579","454.14","1,826.60","810.05","19.61","107.58"
"LUPIN","2,428.40","2,435.00","2,404.00","2,421.20","2,413.90","-","-7.3","-0.3","1006308","243.25","2,529.50","1,836.80","-0.21","25.13"
"CIPLA","1,473.40","1,478.80","1,462.30","1,466.40","1,472.00","-","5.6","0.38","1223370","180.19","1,673.00","1,165.70","0.45","-5.31"
"PPLPHARMA","198.06","200.80","193.19","196.72","194.99","-","-1.73","-0.88","6600377","130.54","209.44","132.30","16","-1.04"
"WOCKPHARMA","1,904.00","1,966.00","1,888.10","1,904.00","1,957.70","-","53.7","2.82","650123","125.88","2,422.30","1,086.70","0.84","17.4"
"DRREDDY","1,152.00","1,154.30","1,141.70","1,144.80","1,145.50","-","0.7","0.06","1085841","124.75","1,414.90","1,101.00","-15.59","-9.82"
"BIOCON","425.95","428.25","422.90","425.35","426.00","-","0.65","0.15","2304756","98.10","447.15","331.00","1.84","8.84"
"GLENMARK","2,207.20","2,256.70","2,207.00","2,190.30","2,250.00","-","59.7","2.73","371153","83.01","2,474.00","1,792.60","2.07","5.43"
"ZYDUSLIFE","1,124.90","1,134.30","1,117.70","1,115.10","1,125.00","-","9.9","0.89","721020","81.10","1,181.50","835.50","1.11","16"
"AJANTPHARM","3,480.10","3,498.00","3,350.00","3,436.40","3,470.00","-","33.6","0.98","211274","72.38","3,598.80","2,329.90","1.38","26.12"
"AUROPHARMA","1,582.90","1,588.50","1,566.10","1,576.30","1,580.00","-","3.7","0.23","440498","69.54","1,636.80","1,016.10","0.08","38.62"
"ALKEM","5,825.00","5,833.00","5,735.00","5,816.50","5,735.00","-","-81.5","-1.4","116595","67.30","5,933.50","4,738.50","2.96","13.99"
"GLAND","2,525.30","2,535.90","2,500.00","2,517.00","2,505.00","-","-12","-0.48","266828","67.16","2,586.00","1,573.60","0.4","21.32"
"SAILIFE","1,315.10","1,338.00","1,303.60","1,315.20","1,320.00","-","4.8","0.36","301481","39.81","1,338.00","778.50","6.94","63.28"
"IPCALAB","1,759.00","1,780.30","1,741.00","1,758.80","1,742.00","-","-16.8","-0.96","138035","24.20","1,944.90","1,251.60","2.41","18.19"
"ABBOTINDIA","27,505.00","27,880.00","27,430.00","27,555.00","27,750.00","-","195","0.71","6208","17.22","35,310.00","25,150.00","9.08","-19.34"
