SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY PRIVATE BANK","27,525.95","27,634.05","27,467.80","27,515.00","27,522.65","-","7.65","0.03","120243802","5,346.38","29,748.45","23,957.45","-1.46","1.61"
"HDFCBANK","753.95","757.55","747.20","753.95","748.00","-","-5.95","-0.79","25522483","1,913.22","1,020.50","726.65","-6.26","-25.87"
"ICICIBANK","1,434.30","1,441.90","1,431.40","1,433.90","1,433.90","-","0","0","8752440","1,255.92","1,494.50","1,187.60","4.27","-3.21"
"AXISBANK","1,226.20","1,239.70","1,226.00","1,228.90","1,227.10","-","-1.8","-0.15","7487936","920.81","1,418.30","1,042.50","-8.81","14.85"
"INDUSINDBK","1,011.45","1,017.90","996.40","1,011.45","1,011.00","-","-0.45","-0.04","2922821","295.28","1,077.85","710.60","9.39","26.55"
"KOTAKBANK","390.20","391.85","388.00","389.40","388.85","-","-0.55","-0.14","7014637","273.61","453.20","345.50","-0.87","-1.74"
"RBLBANK","380.00","381.80","373.00","378.05","373.55","-","-4.5","-1.19","5846031","220.10","383.45","243.25","1.22","40"
"FEDERALBNK","355.40","359.70","354.75","354.15","358.65","-","4.5","1.27","3907564","139.90","359.90","185.11","8.67","77.17"
"BANDHANBNK","173.40","175.40","173.28","172.72","173.90","-","1.18","0.68","7033133","122.69","220.76","134.25","-14.83","3.46"
"IDFCFIRSTB","84.76","85.74","84.51","84.76","84.84","-","0.08","0.09","13981195","119.02","88.76","58.08","6.73","23.39"
"YESBANK","22.54","22.85","22.48","22.54","22.78","-","0.24","1.06","37775562","85.83","25.78","17.20","-5.79","20.4"
