SYMBOL,NAME,EXCHANGE
"AXISBANK","Axis Bank Limited","NSE"
"EQUITASBNK","Equitas Small Finance Bank Limited","NSE"
"HDFCBANK","HDFC Bank Limited","NSE"
"ICICIBANK","ICICI Bank Limited","NSE"
"IDBI","IDBI Bank Limited","NSE"
"IDFCFIRSTB","IDFC First Bank Limited","NSE"
"INDUSINDBK","IndusInd Bank Limited","NSE"
"SBIN","State Bank of India","NSE"
"SOUTHBANK","The South Indian Bank Limited","NSE"
"YESBANK","Yes Bank Limited","NSE"
"BAJFINANCE","Bajaj Finance Limited","NSE"
"SAMMAANCAP","Sammaan Capital Limited","NSE"
"LICHSGFIN","LIC Housing Finance Limited","NSE"
"MANAPPURAM","Manappuram Finance Limited","NSE"
"PFC","Power Finance Corporation Limited","NSE"
"PFS","PTC India Financial Services Limited","NSE"
"PTC","PTC India Limited","NSE"
"PTL","PTL Enterprises Limited","NSE"
"RECLTD","REC Limited","NSE"
"SHRIRAMFIN","Shriram Finance Limited","NSE"
"HDFCAMC","HDFC Asset Management Company Limited","NSE"
"NAM-INDIA","Nippon Life India Asset Management Limited","NSE"
"CDSL","Central Depository Services (India) Limited","NSE"
"IVC","IL&FS Investment Managers Limited","NSE"
"ISEC","ICICI Securities Limited","NSE"
"AUROPHARMA","Aurobindo Pharma Limited","NSE"
"CIPLA","Cipla Limited","NSE"
"GLAND","Gland Pharma Limited","NSE"
"GLENMARK","Glenmark Pharmaceuticals Limited","NSE"
"IOLCP","IOL Chemicals and Pharmaceuticals Limited","NSE"
"JUBLPHARMA","Jubilant Pharmova Limited","NSE"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","NSE"
"IEX","Indian Energy Exchange Limited","NSE"
"BCG","Brightcom Group Limited","NSE"
"BALMLAWRIE","Balmer Lawrie & Company Limited","NSE"
"BLIL","Balmer Lawrie Investments Limited","NSE"
"BPCL","Bharat Petroleum Corporation Limited","NSE"
"COALINDIA","Coal India Limited","NSE"
"GAIL","GAIL (India) Limited","NSE"
"GMDCLTD","Gujarat Mineral Development Corporation Limited","NSE"
"HINDZINC","Hindustan Zinc Limited","NSE"
"IOC","Indian Oil Corporation Limited","NSE"
"JINDALSTEL","JINDAL STEEL LIMITED","NSE"
"MAANALU","Maan Aluminium Limited","NSE"
"MOIL","MOIL Limited","NSE"
"NATIONALUM","National Aluminium Company Limited","NSE"
"NLCINDIA","NLC India Limited","NSE"
"NMDC","NMDC Limited","NSE"
"NTPC","NTPC Limited","NSE"
"ONGC","Oil & Natural Gas Corporation Limited","NSE"
"SAIL","Steel Authority of India Limited","NSE"
